Previous PHEVs,Previous BEVs,Previous HEVs,Previous CNGs,Household Income,"Importance of reducing greenhouse gas emissions (-3 not important, 3 important)",Home ownership (own 1),Home Type (detached 1),Highest Level of Education,Longest trip in the last 12 months,Number of trips over 200 miles in the last 12 months,One-way commute distance,Number of people in the household,Age,Gender (Male 1),Number of vehicles in the household,Annual VMT Estimate ,Target,Model Year,Manufacture,Model
0.0,0.0,0.0,0.0,175000.0,2.79,1.0,0.0,2.0,98.88,1.0,9.65,1.0,65.0,0.0,1,6797.0,0.0,2016,5,15
0.0,0.0,0.0,0.0,75000.0,0.89,1.0,0.0,2.0,447.83,1.0,4.52,2.0,65.0,0.0,2,14880.0,0.0,2017,4,3
0.0,0.0,0.0,0.0,125000.0,0.89,1.0,1.0,3.0,243.44,0.0,22.07,2.0,55.0,0.0,3,14666.666666666666,0.0,2016,5,15
0.0,0.0,0.0,0.0,175000.0,1.98,1.0,1.0,3.0,438.0,5.0,20.13,4.0,35.0,0.0,3,13333.333333333332,0.0,2015,5,15
0.0,0.0,0.0,0.0,75000.0,2.78,0.0,0.0,3.0,236.77,2.0,14.89,1.0,35.0,0.0,1,20997.0,0.0,2017,12,8
1.0,0.0,0.0,0.0,225000.0,2.46,1.0,1.0,4.0,289.67,0.0,33.88,6.0,45.0,0.0,3,14000.0,0.0,2017,12,8
1.0,0.0,0.0,0.0,500000.0,2.85,1.0,1.0,3.0,103.68,2.0,9.38,4.0,45.0,0.0,1,8907.0,0.0,2017,5,15
0.0,0.0,0.0,0.0,375000.0,2.78,1.0,1.0,4.0,141.37,0.0,27.22,2.0,65.0,0.0,3,17316.0,0.0,2017,4,3
0.0,0.0,0.0,0.0,175000.0,2.7,0.0,0.0,4.0,137.36,7.0,1.82,3.0,45.0,1.0,1,7000.0,0.0,2016,5,15
0.0,0.0,0.0,0.0,175000.0,2.47,1.0,1.0,3.0,415.39,0.0,43.26,2.0,65.0,0.0,3,19800.0,0.0,2015,5,15
0.0,0.0,1.0,0.0,225000.0,2.76,0.0,0.0,4.0,788.46,1.0,24.94,2.0,35.0,0.0,3,12800.0,0.0,2015,5,15
0.0,0.0,0.0,0.0,275000.0,1.61,0.0,1.0,3.0,241.52,0.0,33.59,3.0,55.0,1.0,3,13800.0,0.0,2016,5,15
0.0,1.0,0.0,0.0,125000.0,2.8,1.0,1.0,3.0,224.59,1.0,37.6,3.0,45.0,0.0,1,37800.0,0.0,2017,4,3
0.0,0.0,0.0,0.0,325000.0,2.7,1.0,1.0,3.0,376.13,1.0,15.16,4.0,55.0,0.0,3,6000.0,0.0,2017,12,8
0.0,1.0,0.0,0.0,500000.0,2.53,1.0,1.0,4.0,154.72,24.0,2.94,2.0,65.0,0.0,2,8400.0,0.0,2016,12,8
0.0,0.0,1.0,0.0,175000.0,2.63,1.0,0.0,4.0,201.25,0.0,17.01,4.0,45.0,0.0,2,7400.0,0.0,2017,12,8
0.0,0.0,1.0,1.0,125000.0,0.31,1.0,1.0,4.0,675.24,1.0,14.16,4.0,55.0,0.0,4,18075.0,0.0,2016,12,8
0.0,1.0,0.0,0.0,125000.0,2.41,1.0,1.0,4.0,326.38,0.0,14.95,4.0,55.0,0.0,2,10200.0,0.0,2016,12,8
0.0,0.0,1.0,0.0,125000.0,2.82,1.0,1.0,4.0,333.25,0.0,11.91,2.0,65.0,0.0,2,2880.0,0.0,2017,12,8
0.0,0.0,1.0,0.0,275000.0,2.36,1.0,1.0,2.0,222.46,0.0,18.1,3.0,55.0,0.0,3,11223.0,0.0,2017,12,8
0.0,0.0,0.0,0.0,125000.0,2.74,0.0,0.0,2.0,369.91,9.0,6.16,2.0,55.0,0.0,2,12750.0,0.0,2016,12,8
1.0,1.0,0.0,0.0,125000.0,2.82,1.0,1.0,4.0,146.6,0.0,51.08,4.0,45.0,0.0,2,21600.0,0.0,2017,12,8
1.0,0.0,1.0,0.0,175000.0,2.59,0.0,1.0,4.0,138.53,4.0,7.71,2.0,55.0,0.0,2,8842.105263157895,0.0,2016,12,8
0.0,0.0,0.0,0.0,175000.0,-3.0,0.0,1.0,2.0,96.53,5.0,9.32,6.0,45.0,0.0,5,17850.0,0.0,2016,12,8
0.0,0.0,0.0,0.0,225000.0,-3.0,1.0,1.0,3.0,1061.13,5.0,11.5,4.0,45.0,0.0,3,15428.57142857143,0.0,2016,12,8
0.0,0.0,0.0,0.0,275000.0,2.68,1.0,1.0,4.0,463.83,55.0,42.24,4.0,55.0,0.0,4,23082.0,0.0,2017,12,8
1.0,0.0,0.0,0.0,125000.0,2.67,1.0,1.0,4.0,155.59,0.0,34.81,4.0,45.0,0.0,4,11368.421052631578,0.0,2016,12,8
0.0,0.0,1.0,0.0,75000.0,2.06,0.0,0.0,3.0,494.94,1.0,10.38,1.0,65.0,0.0,1,9688.8,0.0,2016,12,8
0.0,0.0,1.0,0.0,175000.0,1.68,1.0,1.0,2.0,675.33,12.0,31.63,2.0,45.0,0.0,2,21818.18181818182,0.0,2016,12,8
0.0,1.0,0.0,0.0,125000.0,2.78,1.0,1.0,3.0,28.94,1.0,24.86,6.0,55.0,0.0,5,12240.0,0.0,2016,12,8
0.0,0.0,0.0,0.0,175000.0,-2.66,1.0,1.0,4.0,1043.44,25.0,4.57,1.0,55.0,0.0,2,12400.0,0.0,2017,12,8
0.0,1.0,0.0,0.0,500000.0,2.66,1.0,1.0,4.0,250.56,2.0,11.96,4.0,65.0,0.0,3,9853.846153846154,0.0,2016,12,8
1.0,0.0,0.0,0.0,75000.0,2.93,1.0,1.0,3.0,127.9,20.0,2.06,4.0,55.0,0.0,2,14117.64705882353,0.0,2016,12,8
1.0,0.0,0.0,0.0,125000.0,2.77,1.0,1.0,4.0,83.29,1.0,13.37,3.0,45.0,0.0,2,13760.4,0.0,2017,12,8
0.0,1.0,0.0,0.0,125000.0,2.96,1.0,1.0,3.0,426.38,0.0,29.95,3.0,55.0,0.0,3,15921.6,0.0,2016,12,8
