,Month Submitted,Year Submitted,lastpage. Last page,Previous PHEVs,Previous BEVs,Previous HEVs,Previous CNGs,Household Income,"Importance of reducing greenhouse gas emissions (-3 not important, 3 important)",Home ownership (own 1),Home Type (detached 1),Highest Level of Education,Longest trip in the last 12 months,Number of trips over 200 miles in the last 12 months,One-way commute distance,Number of people in the household,Age,Gender (Male 1),Number of vehicles in the household,Annual VMT Estimate,"FCV, BEV Dummy",Model Year,Manufacturer,Model
5190,5,2015,43.0,0,1,1,0,125000.0,2,1,1,3,490.05,0,38.1,3,55,1,3,6000,1.0,2014,Mercedes-Benz,B250e
5194,5,2015,43.0,1,0,1,0,75000.0,2,0,0,4,467.33,0,18.99,2,65,0,2,14034,1.0,2011,Nissan,Leaf
5196,5,2015,43.0,1,0,0,0,175000.0,2,1,1,3,372.27,3,41.53,2,25,0,2,26592,1.0,2015,Tesla,Model S
5197,5,2015,43.0,0,0,0,0,225000.0,-2,1,1,3,342.77,8,1.89,4,45,0,2,15000,1.0,2014,Tesla,Model S
5198,5,2015,43.0,0,0,0,0,375000.0,2,1,1,4,656.07,0,29.5,4,55,0,3,14064,1.0,2013,Nissan,Leaf
5199,5,2015,43.0,0,0,0,0,50000.0,0,1,1,3,165.98,8,36.35,4,35,0,1,15771,1.0,2012,Toyota,RAV4 EV
5217,5,2015,43.0,1,0,0,0,325000.0,0,1,1,3,293.79,0,22.38,4,35,0,2,10500,1.0,2015,BMW,i3
5222,5,2015,43.0,0,0,1,0,425000.0,2,1,1,4,781.31,2,9.2,3,45,0,3,16588,1.0,2013,Toyota,RAV4 EV
5224,5,2015,43.0,0,0,0,0,75000.0,2,1,1,3,126.23,0,14.33,2,55,0,3,12923,1.0,2013,Nissan,Leaf
5225,5,2015,43.0,0,0,0,0,175000.0,2,1,1,3,287.29,5,3.73,4,45,0,2,9827,1.0,2013,Tesla,Model S
5226,5,2015,43.0,0,0,0,0,125000.0,2,1,1,3,469.17,4,12.42,2,65,0,3,4399,1.0,2013,Tesla,Model S
5231,5,2015,43.0,0,0,0,0,75000.0,1,0,0,4,107.23,0,16.48,4,45,0,2,11250,1.0,2013,Nissan,Leaf
5245,5,2015,43.0,0,0,0,0,75000.0,2,0,1,3,390.76,0,24.64,2,35,1,2,11142,1.0,2013,Nissan,Leaf
5254,5,2015,43.0,0,0,0,0,125000.0,2,1,1,4,131.34,0,15.08,2,45,0,2,15171,1.0,2014,Chevrolet,Spark EV
5258,5,2015,43.0,0,0,0,0,125000.0,2,1,1,4,53.54,0,13.39,2,65,0,3,3507,1.0,2014,BMW,i3
5265,5,2015,43.0,0,1,1,0,375000.0,2,1,1,4,136.9,20,98.66,1,35,0,2,33777,1.0,2012,Tesla,Model S
5271,5,2015,43.0,0,0,0,0,75000.0,2,0,1,2,166.52,0,4.03,4,65,0,3,4361,1.0,2013,Ford,Focus
5272,5,2015,43.0,0,1,0,0,425000.0,1,1,1,4,97.97,4,3.93,4,45,0,2,10512,1.0,2014,Tesla,Model S
5277,5,2015,43.0,0,1,0,0,225000.0,2,1,1,4,308.22,0,6.16,4,55,0,4,10036,1.0,2014,Nissan,Leaf
5283,5,2015,43.0,1,0,0,0,275000.0,2,1,1,4,233.14,0,11.08,2,35,1,2,11700,1.0,2014,Mercedes-Benz,B250e
5287,5,2015,43.0,0,0,0,0,50000.0,2,1,1,3,474.97,0,8.35,2,65,0,3,13598,1.0,2011,Nissan,Leaf
5302,5,2015,43.0,0,0,1,0,75000.0,0,0,0,2,116.16,0,4.86,3,35,0,2,7777,1.0,2013,Nissan,Leaf
5310,5,2015,43.0,0,0,0,0,75000.0,2,1,1,3,146.71,0,3.57,3,45,1,2,8002,1.0,2013,Fiat,500e
5323,5,2015,43.0,0,0,1,0,125000.0,2,1,1,3,108.33,0,14.02,2,55,0,3,10727,1.0,2013,Nissan,Leaf
5325,5,2015,43.0,0,0,1,0,175000.0,2,1,1,3,342.82,0,40.73,3,45,0,3,27272,1.0,2013,Nissan,Leaf
5331,5,2015,43.0,0,0,1,0,275000.0,2,1,1,3,307.56,1,19.37,3,45,0,4,16846,1.0,2014,Nissan,Leaf
5341,5,2015,43.0,0,0,0,0,275000.0,2,1,1,4,578.42,0,37.02,2,55,0,3,13388,1.0,2013,Fiat,500e
5351,5,2015,43.0,0,0,0,0,225000.0,0,1,1,3,384.03,0,31.38,4,45,0,4,18000,1.0,2014,Toyota,RAV4 EV
5357,5,2015,43.0,0,0,0,0,375000.0,1,1,1,4,364.02,0,71.76,5,55,0,3,31046,1.0,2013,Tesla,Model S
5359,5,2015,43.0,0,0,0,0,425000.0,1,1,1,4,169.45,0,10.01,3,35,0,2,8727,1.0,2014,BMW,i3
5361,5,2015,43.0,0,0,1,0,125000.0,2,1,1,3,251.84,0,21.65,2,45,0,2,11555,1.0,2013,Nissan,Leaf
5367,5,2015,43.0,0,0,0,0,125000.0,2,1,1,4,65.67,1,5.56,3,55,1,2,13826,1.0,2013,Tesla,Model S
5370,5,2015,43.0,0,0,0,0,175000.0,2,1,1,2,310.51,4,5.69,2,65,0,2,18662,1.0,2013,Tesla,Model S
5373,5,2015,43.0,1,0,0,0,275000.0,2,1,1,3,121.14,0,32.06,4,45,0,2,13573,1.0,2013,Nissan,Leaf
5375,5,2015,43.0,0,1,1,0,275000.0,2,1,1,4,293.2,0,8.87,2,45,0,2,11024,1.0,2014,BMW,i3
5377,5,2015,43.0,0,0,1,0,225000.0,0,1,0,3,135.92,1,3.75,2,45,0,2,10344,1.0,2012,Tesla,Model S
5382,5,2015,43.0,0,1,1,0,175000.0,0,1,1,4,364.24,4,4.36,2,65,0,2,3818,1.0,2014,BMW,i3
5383,5,2015,43.0,0,0,1,0,175000.0,2,1,1,2,230.29,0,36.77,4,65,0,2,23478,1.0,2012,Toyota,RAV4 EV
5384,5,2015,43.0,0,0,1,0,325000.0,1,1,1,4,537.53,2,19.66,3,65,0,4,7246,1.0,2013,Tesla,Model S
5390,5,2015,43.0,0,0,0,0,225000.0,0,1,1,4,339.56,10,28.61,3,35,0,3,10320,1.0,2014,Honda,Fit EV
5404,5,2015,43.0,0,0,0,0,425000.0,0,1,1,3,479.26,5,1.61,2,65,0,2,9194,1.0,2013,Tesla,Model S
5409,5,2015,43.0,0,0,1,0,125000.0,2,1,1,3,380.23,0,3.54,3,55,1,4,3428,1.0,2013,Toyota,RAV4 EV
5412,5,2015,43.0,0,0,0,0,125000.0,2,1,1,4,176.52,0,14.31,5,45,0,2,6923,1.0,2013,Nissan,Leaf
5416,5,2015,43.0,0,1,0,0,375000.0,2,1,1,4,383.11,0,6.23,2,65,1,3,4200,1.0,2015,Nissan,Leaf
5418,5,2015,43.0,0,1,0,0,225000.0,0,1,1,4,237.84,1,2.65,2,65,0,3,8423,1.0,2013,Tesla,Model S
5424,5,2015,43.0,0,0,1,0,125000.0,2,1,1,3,366.66,0,1.95,2,65,0,2,5955,1.0,2013,Ford,Focus
5425,5,2015,43.0,0,0,0,0,50000.0,0,1,1,3,216.63,0,13.11,1,35,0,3,8861,1.0,2014,Chevrolet,Spark EV
5431,5,2015,43.0,0,0,1,0,125000.0,2,1,1,2,191.65,0,11.96,2,55,0,2,7389,1.0,2013,Nissan,Leaf
5435,5,2015,43.0,0,0,0,0,125000.0,2,1,1,4,244.86,0,35.2,4,45,0,2,16225,1.0,2013,Nissan,Leaf
5437,5,2015,43.0,0,0,0,0,75000.0,2,1,1,2,115.92,0,26.23,2,65,1,3,10635,1.0,2014,Honda,Fit EV
5448,5,2015,43.0,0,0,1,0,125000.0,2,1,1,4,597.87,0,4.82,2,65,0,4,7200,1.0,2013,Nissan,Leaf
5450,5,2015,43.0,0,0,0,0,75000.0,2,1,1,3,380.08,0,9.29,5,45,0,2,10498,1.0,2014,Smart,fortwo
5459,5,2015,43.0,0,0,1,0,75000.0,2,1,1,4,376.85,0,0.09,2,65,0,2,6861,1.0,2011,Nissan,Leaf
5472,5,2015,43.0,0,0,0,0,125000.0,2,1,0,3,97.84,0,21.43,4,35,0,2,13823,1.0,2014,BMW,i3
